<<<<<<< HEAD
item_id,product_name,department_name,price,stock_quantity
1001,Billie Eilish,cds and vinyl,16.99,15
1002,Fuji Film Instamix Mini Camera,camera and photo,55.99,20
1003,Beatles Collectible: 2015 Lava Lite SGT Pepper Lonely Hearts Club Band,entertainment collectibles,75.93,1
1004,Scar Tissue,books,25.91,5
1005,Echo Dot (3rd Gen),electronics,49.99,18
1006,Daft Punk,cds and vinyl,25.93,12
1007,Fuji Film Insta Film,camera and photo,30.92,25
1008,TONY MORAN Signed Steel Chef Knife Michael Myers Halloween I ,entertainment collectibles,66.66,2
1009,My Thoughts Exactly,books,25.13,6
1010,Bose QuietComfort Headphones,electronics,249.95,2
=======
item_id,product_name,department_name,price,stock_quantity
1001,Billie Eilish,cds and vinyl,16.99,15
1002,Fuji Film Instamix Mini Camera,camera and photo,55.99,20
1003,Beatles Collectible: 2015 Lava Lite SGT Pepper Lonely Hearts Club Band,entertainment collectibles,75.93,1
1004,Scar Tissue,books,25.91,5
1005,Echo Dot (3rd Gen),electronics,49.99,18
1006,Daft Punk,cds and vinyl,25.93,12
1007,Fuji Film Insta Film,camera and photo,30.92,25
1008,TONY MORAN Signed Steel Chef Knife Michael Myers Halloween I ,entertainment collectibles,66.66,2
1009,My Thoughts Exactly,books,25.13,6
1010,Bose QuietComfort Headphones,electronics,249.95,2
>>>>>>> b32eb63858f5f65f8e581c31e945f4e7c32bafd5
